family	name	degree	mode_mhz	freq_mhz	grid_offset	stencil_member	response_class	epsilon	attenuation	threshold	n	nnz_a	max_abs_a	factor_info	solve_info	finite	min_abs_diag_u	max_abs_diag_u	max_abs_u	max_abs_l	growth_u_over_a	nonidentity_pivots	pivot_fraction	max_pivot_displacement	residual	solution_vs_threshold1	solution_abs_vs_threshold1	transfer_norm	transfer_abs_error_vs_threshold1	transfer_relative_error_vs_threshold1	local_response_scale	local_response_normalized_error	transfer_max_row	transfer_max_col	transfer_re	transfer_im	threshold1_transfer_re	threshold1_transfer_im	lapack_transfer_re	lapack_transfer_im	transfer_component_abs_error_vs_threshold1	lapack_factor_info	lapack_solve_info	lapack_finite	lapack_residual	lapack_solution_vs_threshold1	lapack_solution_abs_vs_threshold1	lapack_transfer_abs_error_vs_threshold1	lapack_transfer_relative_error_vs_threshold1	solution_vs_lapack	transfer_abs_error_vs_lapack	transfer_relative_error_vs_lapack
radial	radial_0S0	0	0.81466349999999998	0.8544921875	1	1	flank	0.32294014437366447	1	0.10000000000000001	282	3924	1643926063315067.8	0	0	1	378.0491930869394	1034146289130927.2	1640207469874261.5	8.1818478980237472	0.99773798011736159	181	0.64184397163120566	280	5.8584334609641408e-21	1.5158332511724591e-08	9.2589990761063906e-16	1.1209152785905959e-12	3.253544451328427e-23	2.9025783781586004e-11	1.1527089827410472e-12	2.822520254498031e-11	0	0	-8.9572949110752667e-13	-6.7388407054780898e-13	-8.957294911077477e-13	-6.7388407051527429e-13	-8.9572949081060498e-13	-6.7388407115990779e-13	3.253544451328427e-23	0	0	1	4.5760494241769398e-21	5.2471592715412693e-08	3.2050651224206634e-15	7.0982121159164436e-22	6.3325143760768951e-10	5.2072530136408087e-08	6.8031422444074225e-22	6.0692742560955435e-10
radial	radial_0S0	0	0.81466349999999998	0.8544921875	1	1	flank	0.32294014437366447	1	0.01	282	3924	1643926063315067.8	0	0	1	252.71548632956777	1034146289130927.2	1640207469874261.5	90.920011413978969	0.99773798011736159	144	0.51063829787234039	279	6.4040044513506671e-21	1.5773667978391597e-08	9.6348577342377207e-16	1.1209152786314951e-12	1.4950746357277531e-22	1.3337980704781423e-10	1.1527089827410472e-12	1.2970096165751988e-10	0	0	-8.957294910736671e-13	-6.7388407066084556e-13	-8.957294911077477e-13	-6.7388407051527429e-13	-8.9572949081060498e-13	-6.7388407115990779e-13	1.4950746357277531e-22	0	0	1	4.5760494241769398e-21	5.2471592715412693e-08	3.2050651224206634e-15	7.0982121159164436e-22	6.3325143760768951e-10	3.875723865020095e-08	5.6414961892515052e-22	5.0329371865526349e-10
radial	radial_0S0	0	0.81466349999999998	0.885009765625	2	1	antiresonance	0.32294014437366447	1	1	282	3924	1643953287182762.8	0	0	1	378.0357171409409	1034163457944178.5	1640234632161029.8	0.99999997692206533	0.99773798011736348	278	0.98581560283687941	279	1.1260332576001202e-20	0	0	9.8752039630158203e-13	0	0	1.1527089827410472e-12	0	0	0	-9.0663039023121797e-13	-3.9143054124687699e-13	-9.0663039023121797e-13	-3.9143054124687699e-13	-9.0663039038163277e-13	-3.9143054175061266e-13	0	0	0	1	7.5540669362692553e-21	4.6909129065390478e-08	2.1971219023090248e-15	5.2571307999025552e-22	5.3235668038769935e-10	4.690913095516266e-08	5.2571307999025552e-22	5.3235668020561643e-10
radial	radial_0S0	0	0.81466349999999998	0.885009765625	2	1	antiresonance	0.32294014437366447	1	0.10000000000000001	282	3924	1643953287182762.8	0	0	1	378.03571714094056	1034163457944178.5	1640234632161029.8	8.1830633328631777	0.99773798011736348	180	0.63829787234042556	279	6.1101100225142314e-21	3.2495311886745165e-08	1.5220099560835088e-15	9.8752039648642296e-13	2.2342845842396366e-22	2.2625199364057503e-10	1.1527089827410472e-12	1.9382902516528425e-10	0	0	-9.0663039035116673e-13	-3.9143054143537784e-13	-9.0663039023121797e-13	-3.9143054124687699e-13	-9.0663039038163277e-13	-3.9143054175061266e-13	2.2342845842396366e-22	0	0	1	7.5540669362692553e-21	4.6909129065390478e-08	2.1971219023090248e-15	5.2571307999025552e-22	5.3235668038769935e-10	7.6180880225642576e-08	3.1670360692366615e-22	3.2070588921651429e-10
radial	radial_0S0	0	0.81466349999999998	0.885009765625	2	1	antiresonance	0.32294014437366447	1	0.01	282	3924	1643953287182762.8	0	0	1	252.70379866892029	1034163457944178.5	1640234632161029.8	90.931700635723729	0.99773798011736348	144	0.51063829787234039	279	6.2451377740208701e-21	2.1691805815994825e-08	1.0159971546800619e-15	9.8752039660190897e-13	4.8444544572282666e-22	4.9056753413615603e-10	1.1527089827410472e-12	4.2026691296432443e-10	0	0	-9.066303903562736e-13	-3.9143054171490314e-13	-9.0663039023121797e-13	-3.9143054124687699e-13	-9.0663039038163277e-13	-3.9143054175061266e-13	4.8444544572282666e-22	0	0	1	7.5540669362692553e-21	4.6909129065390478e-08	2.1971219023090248e-15	5.2571307999025552e-22	5.3235668038769935e-10	5.1751591443884722e-08	4.3797914913795009e-23	4.4351402829596997e-11
radial	radial_0S0	0	0.81466349999999998	0.762939453125	-2	1	antiresonance	0.32294014437366447	0	1	282	3924	1649420622376787.5	0	0	1	378.09781272290735	1037602634851940.5	1645689600134765.8	0.99999999615260604	0.99773798011774251	278	0.98581560283687941	279	2.0197848705599586e-21	0	0	5.5559368584813715e-13	0	0	1.1533443763381796e-12	0	0	0	1.037034657820215e-13	-5.4582958415527063e-13	1.037034657820215e-13	-5.4582958415527063e-13	1.037034658536791e-13	-5.458295832546428e-13	0	0	0	1	3.7034071974455473e-21	9.9974400730112292e-08	5.4444951519159902e-15	9.0347401624310595e-22	1.6261416197772565e-09	9.9974391195440592e-08	9.0347401624310595e-22	1.62614162232779e-09
radial	radial_0S0	0	0.81466349999999998	0.762939453125	-2	1	antiresonance	0.32294014437366447	0	0.10000000000000001	282	3924	1649420622376787.5	0	0	1	378.09781272290746	1037602634851940.5	1645689600134765.8	8.1781996885167185	0.99773798011774251	180	0.63829787234042556	279	3.0591841568323915e-21	2.1890993947769333e-08	1.1921592882662188e-15	5.5559368583947669e-13	4.2898770391256232e-23	7.7212487261746783e-11	1.1533443763381796e-12	3.7195109519203659e-11	0	0	1.0370346582168207e-13	-5.4582958413891998e-13	1.037034657820215e-13	-5.4582958415527063e-13	1.037034658536791e-13	-5.458295832546428e-13	4.2898770391256232e-23	0	0	1	3.7034071974455473e-21	9.9974400730112292e-08	5.4444951519159902e-15	9.0347401624310595e-22	1.6261416197772565e-09	7.829192919850072e-08	8.8485588561113312e-22	1.5926312871036716e-09
radial	radial_0S0	0	0.81466349999999998	0.762939453125	-2	1	antiresonance	0.32294014437366447	0	0.01	282	3924	1649420622376787.5	0	0	1	252.7677108197488	1037602634851940.5	1645689600134765.8	90.880459602384022	0.99773798011774251	144	0.51063829787234039	279	2.3027790198609481e-21	6.4288557409910645e-08	3.5010836432701486e-15	5.5559368574439454e-13	1.1615019388042768e-22	2.0905600052513108e-10	1.1533443763381796e-12	1.0070729633173372e-10	0	0	1.0370346581397313e-13	-5.4582958404360165e-13	1.037034657820215e-13	-5.4582958415527063e-13	1.037034658536791e-13	-5.458295832546428e-13	1.1615019388042768e-22	0	0	1	3.7034071974455473e-21	9.9974400730112292e-08	5.4444951519159902e-15	9.0347401624310595e-22	1.6261416197772565e-09	3.6443728418708468e-08	7.8995736043428553e-22	1.4218256646804699e-09
radial	radial_0S0	0	0.81466349999999998	0.79345703125	-1	1	flank	0.32294014437366447	0	1	282	3924	1649420561104593	0	0	1	378.08582692934021	1037602634851940.5	1645689539001170	0.999999998013822	0.9977379801177424	279	0.98936170212765961	280	2.2196295357601433e-21	0	0	8.9590409099580884e-13	0	0	1.1533443763381796e-12	0	0	0	-6.3193621729858973e-14	-8.9367259465404333e-13	-6.3193621729858973e-14	-8.9367259465404333e-13	-6.3193622360460674e-14	-8.9367259529672773e-13	0	0	0	1	4.2190102893994215e-21	3.1771499268651664e-08	2.2151907618569954e-15	9.0038977176369903e-22	1.0050068760852563e-09	3.1771498292932468e-08	9.0038977176369903e-22	1.005006875316205e-09
radial	radial_0S0	0	0.81466349999999998	0.79345703125	-1	1	flank	0.32294014437366447	0	0.10000000000000001	282	3924	1649420561104593	0	0	1	378.08582692933976	1037602634851940.5	1645689539001170	8.1793091360412351	0.9977379801177424	181	0.64184397163120566	280	3.6321192718300181e-21	1.4079345983473548e-08	9.8164826569428023e-16	8.9590409182007342e-13	9.5625228316466763e-22	1.0673601033585871e-09	1.1533443763381796e-12	8.2911253809614858e-10	0	0	-6.3193622271566513e-14	-8.936725954420607e-13	-6.3193621729858973e-14	-8.9367259465404333e-13	-6.3193622360460674e-14	-8.9367259529672773e-13	9.5625228316466763e-22	0	0	1	4.2190102893994215e-21	3.1771499268651664e-08	2.2151907618569954e-15	9.0038977176369903e-22	1.0050068760852563e-09	2.1194592039229687e-08	1.7036385574285879e-22	1.9015858653255099e-10
