config	kind	threshold	panel	relax	maxsuper	system	family	freq	n	nnz_a	factor_s	solve_s	nnz_l	nnz_u	nonidentity_pivots	pivot_fraction	max_pivot_displacement	factor_info	solve_info	discrepancy	residual	finite	repeats
pivot_0p5	pivot	0.5	16	1	128	spheroidal_medium	spheroidal	0.40999999999999998	257	3715	0.000229822	3.5790749999999999e-05	2417	3395	220	0.85603112840466922	82	0	0	3.2304839317602663e-14	6.2243766418258222e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_medium	spheroidal	0.67000000000000004	257	3715	0.000226307	3.5097249999999997e-05	2417	3395	220	0.85603112840466922	82	0	0	6.5083107853655126e-14	4.3480592509913546e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_medium	spheroidal	1.05	257	3715	0.000224379	3.5144749999999999e-05	2417	3395	220	0.85603112840466922	82	0	0	2.0923460660476932e-14	4.6314256514908068e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_medium	spheroidal	0.5	257	3715	0.00022478474999999999	3.5019499999999999e-05	2417	3395	220	0.85603112840466922	82	0	0	3.0938373252183055e-14	6.7427783441093309e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_medium	spheroidal	0.14999999999999999	257	3715	0.00022879825	3.5379999999999997e-05	2417	3396	217	0.8443579766536965	82	0	0	5.9462196134747454e-14	6.528559440907386e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_large	spheroidal	0.17999999999999999	860	14554	0.00090105649999999997	0.00013428250000000001	9449	12158	675	0.78488372093023251	292	0	0	8.5391764932839005e-13	7.2440471619132492e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_large	spheroidal	0.40999999999999998	860	14554	0.00092102125000000003	0.00013577724999999999	9449	12258	676	0.78604651162790695	292	0	0	2.2599189756213356e-13	8.5749952388877391e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_large	spheroidal	0.67000000000000004	860	14554	0.00089046600000000002	0.00013504599999999999	9449	12183	675	0.78488372093023251	292	0	0	3.6007135532794658e-13	4.377013936433588e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_large	spheroidal	1.05	860	14554	0.00089444674999999995	0.00013514625	9449	12268	673	0.78255813953488373	292	0	0	4.7282889222971845e-13	5.9361052543226291e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_large	spheroidal	0.80000000000000004	860	14554	0.00088508024999999998	0.00013726175	9449	12243	674	0.78372093023255818	292	0	0	3.3652607503309483e-13	4.3325126773401441e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_large	spheroidal	0.10000000000000001	860	14554	0.00086646249999999998	0.00013353375000000001	9449	12013	675	0.78488372093023251	292	0	0	2.2160281266129985e-12	3.6271023509824277e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_fluid_solid	spheroidal	0.17999999999999999	860	14554	0.00095536500000000001	0.0001394775	9409	12941	678	0.78837209302325584	84	0	0	1.2258845785863782e-13	5.3531336194369877e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_fluid_solid	spheroidal	0.40999999999999998	860	14554	0.00094176950000000002	0.00013925750000000001	9409	12941	677	0.78720930232558139	84	0	0	6.6069701331591976e-14	8.6545768371496447e-24	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_fluid_solid	spheroidal	0.67000000000000004	860	14554	0.00094286624999999997	0.00013914974999999999	9409	12939	673	0.78255813953488373	84	0	0	2.6392466758433858e-14	4.6004852492827536e-24	1	4
