system	family	freq_index	freq_mhz	n	nnz_a	repeats	policy	ordering	eigen_setup_s	eigen_factor_s	eigen_solve_s	eigen_factor_info	eigen_solve_info	umf_symbolic_s	umf_numeric_s	umf_raw_solve_s	umf_refined_solve_s	umf_symbolic_status	umf_numeric_status	umf_raw_status	umf_refined_status	umf_strategy_used	umf_ordering_used	umf_was_scaled	umf_noff_diag	umf_lnz	umf_unz	umf_flops	umf_numeric_size	umf_peak_memory	umf_rcond	umf_raw_ir_steps	umf_refined_ir_steps	lapack_factor_info	lapack_solve_info	eigen_residual	umf_raw_residual	umf_refined_residual	lapack_residual	umf_raw_vs_eigen	umf_refined_vs_eigen	eigen_vs_lapack	umf_raw_vs_lapack	umf_refined_vs_lapack	transfer_raw_vs_eigen	transfer_refined_vs_eigen	finite
toroidal_small	toroidal	0	1.8310546875	37	181	16	default	natural	2.7640000000000001e-06	1.1873374999999999e-05	3.6992499999999994e-06	0	0	1.1447000000000001e-05	2.4735750000000005e-05	4.2764375000000003e-06	1.8434874999999997e-05	0	0	0	0	3	5	1	0	109	109	1992	667	4984	0.00064293321767956431	0	0	0	0	7.7673263117851704e-17	5.2661376349291427e-17	5.2661376349291427e-17	1.1420544300740359e-16	1.2450869834340942e-12	1.2450869834340942e-12	6.5398854490439506e-13	1.8990557114039967e-12	1.8990557114039967e-12	1.245201076877222e-12	1.245201076877222e-12	1
toroidal_small	toroidal	1	1.861572265625	37	181	16	default	natural	2.7640000000000001e-06	1.1815625000000001e-05	3.6541250000000008e-06	0	0	1.1447000000000001e-05	2.4341312500000001e-05	4.2694374999999994e-06	1.8978812499999999e-05	0	0	0	0	3	5	1	0	109	109	1992	667	4984	0.0001647891986404089	0	0	0	0	8.0351665905590068e-17	5.9491648172723428e-17	5.9491648172723428e-17	8.6806525222140491e-17	1.2642903726354088e-12	1.2642903726354088e-12	5.7422331764853063e-12	7.0065031876370332e-12	7.0065031876370332e-12	1.2643048961288389e-12	1.2643048961288389e-12	1
toroidal_small	toroidal	0	1.8310546875	37	181	16	robust	default_amd	2.7640000000000001e-06	1.1771187500000003e-05	3.6668124999999998e-06	0	0	9.7049999999999994e-06	2.4884687500000002e-05	4.7190000000000009e-06	1.8976374999999995e-05	0	0	0	0	3	1	1	12	109	139	2232	715	4981	0.025148654854545698	0	0	0	0	7.7673263117851704e-17	4.8927767076461815e-17	4.8927767076461815e-17	1.1420544300740359e-16	6.4553374690857768e-13	6.4553374690857768e-13	6.5398854490439506e-13	1.2994929116450759e-12	1.2994929116450759e-12	6.4942464194015106e-13	6.4942464194015106e-13	1
toroidal_small	toroidal	1	1.861572265625	37	181	16	robust	default_amd	2.7640000000000001e-06	1.1720624999999999e-05	3.6872499999999993e-06	0	0	9.7049999999999994e-06	2.46241875e-05	4.7219999999999999e-06	1.94133125e-05	0	0	0	0	3	1	1	12	109	139	2232	715	4981	0.0061294136650026044	0	0	0	0	8.0351665905590068e-17	7.5885741420883334e-17	7.5885741420883334e-17	8.6806525222140491e-17	6.091555716310658e-13	6.091555716310658e-13	5.7422331764853063e-12	5.1331201073072957e-12	5.1331201073072957e-12	6.1200925683784714e-13	6.1200925683784714e-13	1
toroidal_small	toroidal	0	1.8310546875	37	181	16	default	default_amd	2.7640000000000001e-06	1.1990999999999999e-05	3.6986250000000001e-06	0	0	8.9330000000000007e-06	2.3253312499999994e-05	4.3213749999999998e-06	1.8430687499999999e-05	0	0	0	0	3	1	1	0	109	109	1992	645	4981	0.011870384255416722	0	0	0	0	7.7673263117851704e-17	8.2569857053153578e-17	8.2569857053153578e-17	1.1420544300740359e-16	1.0419525474279884e-12	1.0419525474279884e-12	6.5398854490439506e-13	1.6959293421354045e-12	1.6959293421354045e-12	1.041937291739616e-12	1.041937291739616e-12	1
toroidal_small	toroidal	1	1.861572265625	37	181	16	default	default_amd	2.7640000000000001e-06	1.1857062500000001e-05	3.723125e-06	0	0	8.9330000000000007e-06	2.34129375e-05	4.352e-06	1.8918749999999999e-05	0	0	0	0	3	1	1	0	109	109	1992	645	4981	0.0069815700379467615	0	0	0	0	8.0351665905590068e-17	8.3071108791039191e-17	8.3071108791039191e-17	8.6806525222140491e-17	1.4589189680141234e-13	1.4589189680141234e-13	5.7422331764853063e-12	5.8878610710487365e-12	5.8878610710487365e-12	1.4579594738133008e-13	1.4579594738133008e-13	1
spheroidal_small	spheroidal	0	0.30517578125	168	2022	16	robust	natural	1.2378000000000001e-05	0.00013576643750000004	2.8956187499999998e-05	0	0	6.1252000000000002e-05	0.000179838125	3.2102625000000008e-05	0.00027468881250000004	0	0	0	0	3	5	1	119	1283	1571	84475	6661	18525	3.6628979956433365e-09	0	3	0	0	8.6202870157424016e-21	7.9747246952915081e-18	1.2264352312995393e-20	5.8511109636003153e-21	9.4826528577731724e-09	1.4719119960945008e-08	3.7689078929598055e-09	1.2236865941273154e-08	1.7830389822766337e-08	1.00467981358458e-08	1.5585441763582648e-08	1
spheroidal_small	spheroidal	1	0.335693359375	168	2022	16	robust	natural	1.2378000000000001e-05	0.00013499150000000003	2.8887937499999998e-05	0	0	6.1252000000000002e-05	0.0001795228125	3.2377000000000005e-05	0.00031047556249999997	0	0	0	0	3	5	1	119	1283	1571	84475	6661	18525	2.5262611041523512e-08	0	4	0	0	1.7281836178799518e-20	5.1388183113331002e-18	8.8917955276267444e-21	7.4091556604532243e-21	5.1640480509905285e-09	5.5267050919327291e-09	6.436612522003904e-09	1.2726564399009086e-09	9.0995823249333651e-10	2.6245471942999471e-09	3.1646776785346817e-09	1
spheroidal_small	spheroidal	0	0.30517578125	168	2022	16	default	natural	1.2378000000000001e-05	0.00013516306249999999	2.8909875000000001e-05	0	0	5.8177000000000002e-05	0.00014359756250000003	2.9552625000000001e-05	0.000228703875	0	0	0	0	3	5	1	0	1330	1330	84650	6141	16434	3.6067411275614461e-05	0	2	0	0	8.6202870157424016e-21	7.9670550797096491e-21	1.0188619263323187e-20	5.8511109636003153e-21	1.4729608773121621e-08	1.4728698720885567e-08	3.7689078929598055e-09	1.7841662368644154e-08	1.7840517922354461e-08	1.5613051523153534e-08	1.5613051523153534e-08	1
spheroidal_small	spheroidal	1	0.335693359375	168	2022	16	default	natural	1.2378000000000001e-05	0.00013273943749999998	2.8803500000000003e-05	0	0	5.8177000000000002e-05	0.00014405931249999998	2.9640437499999994e-05	0.00026676868750000004	0	0	0	0	3	5	1	0	1330	1330	84650	6141	16434	0.00052223507030955615	0	2	0	0	1.7281836178799518e-20	2.5697941411843919e-20	1.1029329068370453e-20	7.4091556604532243e-21	5.5277347425319543e-09	5.5305131995309724e-09	6.436612522003904e-09	9.0892434983168957e-10	9.0614298809225693e-10	3.1681813390169979e-09	3.1750260451075248e-09	1
